xmltv_id,site_id,name,channelNumber,logoUrl
mujtvprogram-344,344,Arena Sport 1,108,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=417142095fa934ab9c9f02e2bf7d5a9aandp2=80
mujtvprogram-369,369,AXN Black,192,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=dcce8445e7c707239857e2fb3213ea52andp2=80
mujtvprogram-370,370,AXN White,193,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=e4f5ce21e5c4ac42ff8a3c1d99ead13bandp2=80
mujtvprogram-9,9,AXN,194,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=206f0baaf3ae62b0fedd0c4150916af9andp2=80
mujtvprogram-1040,1040,CANAL+ Sport,92,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=ab73879fdf9b10e1deb0224bfbb3cfd8andp2=80
mujtvprogram-533,533,Dorcel TV,404,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=f710f096d8a1ccb88bedbf3d8f6c0c9candp2=80
mujtvprogram-761,761,Dorcel XXX,405,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=5ef2c19dd1070d963592331a1ff4c6aaandp2=80
mujtvprogram-72,72,Hustler,396,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=0bd717f5b87b04bc1e39b886a492567dandp2=80
mujtvprogram-808,808,Love Nature HD,144,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=d91a50abe9e154fad4be716760a11e51andp2=80
mujtvprogram-495,495,Markíza International,74,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=1e5edc666f6748d00ece0e8c8fd92d8bandp2=80
mujtvprogram-1017,1017,Markíza Krimi,54,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=bcbe656b111f70a50fedabf40c644cdcandp2=80
mujtvprogram-296,296,Náš region TV,63,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=a525a102fb950e7f64e3b72572728135andp2=80
mujtvprogram-727,727,Óčko Black HD,369,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=837622a6d6ce69dd8c568888aaaaae60andp2=80
mujtvprogram-103,103,Playboy,403
mujtvprogram-723,723,Skylink 7,4,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=ac6c69625699eaecc9b39f7ea4d69b8candp2=80
mujtvprogram-233,233,Stingray Classica,350,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=661af53f8f3b997611c29f844c7006fdandp2=80
mujtvprogram-234,234,Stingray iConcerts,351,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=99c87946872c81f46190c77af7cd1d89andp2=80
mujtvprogram-570,570,UP Network,150,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=5f14208e2f909f37a6b3686e601658b4andp2=80
mujtvprogram-892,892,Vixen,394,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=4499ebafb26a915859febcb4306703caandp2=80
